# Velocity(km/s)  CCF
  3.0751e+02  -4.3859e-02
  3.0871e+02  -4.3043e-02
  3.0991e+02  -4.0148e-02
  3.1111e+02  -3.5323e-02
  3.1231e+02  -2.9094e-02
  3.1351e+02  -2.2268e-02
  3.1471e+02  -1.5775e-02
  3.1592e+02  -1.0488e-02
  3.1712e+02  -7.0969e-03
  3.1832e+02  -6.0506e-03
  3.1952e+02  -7.5519e-03
  3.2072e+02  -1.1573e-02
  3.2192e+02  -1.7860e-02
  3.2312e+02  -2.5920e-02
  3.2432e+02  -3.5024e-02
  3.2553e+02  -4.4255e-02
  3.2673e+02  -5.2610e-02
  3.2793e+02  -5.9143e-02
  3.2913e+02  -6.3125e-02
  3.3033e+02  -6.4155e-02
  3.3153e+02  -6.2212e-02
  3.3273e+02  -5.7636e-02
  3.3393e+02  -5.1043e-02
  3.3514e+02  -4.3197e-02
  3.3634e+02  -3.4873e-02
  3.3754e+02  -2.6735e-02
  3.3874e+02  -1.9255e-02
  3.3994e+02  -1.2684e-02
  3.4114e+02  -7.0770e-03
  3.4234e+02  -2.3528e-03
  3.4354e+02   1.6395e-03
  3.4474e+02   5.0686e-03
  3.4595e+02   8.1051e-03
  3.4715e+02   1.0943e-02
  3.4835e+02   1.3842e-02
  3.4955e+02   1.7157e-02
  3.5075e+02   2.1315e-02
  3.5195e+02   2.6737e-02
  3.5315e+02   3.3690e-02
  3.5435e+02   4.2153e-02
  3.5556e+02   5.1730e-02
  3.5676e+02   6.1671e-02
  3.5796e+02   7.1002e-02
  3.5916e+02   7.8732e-02
  3.6036e+02   8.4056e-02
  3.6156e+02   8.6493e-02
  3.6276e+02   8.5922e-02
  3.6396e+02   8.2528e-02
  3.6517e+02   7.6699e-02
  3.6637e+02   6.8932e-02
  3.6757e+02   5.9787e-02
  3.6877e+02   4.9902e-02
  3.6997e+02   4.0013e-02
  3.7117e+02   3.0967e-02
  3.7237e+02   2.3642e-02
  3.7357e+02   1.8814e-02
  3.7477e+02   1.6964e-02
  3.7598e+02   1.8114e-02
  3.7718e+02   2.1742e-02
  3.7838e+02   2.6826e-02
  3.7958e+02   3.2020e-02
  3.8078e+02   3.5922e-02
  3.8198e+02   3.7367e-02
  3.8318e+02   3.5673e-02
  3.8438e+02   3.0784e-02
  3.8559e+02   2.3261e-02
  3.8679e+02   1.4155e-02
  3.8799e+02   4.7684e-03
  3.8919e+02  -3.6139e-03
  3.9039e+02  -9.9685e-03
  3.9159e+02  -1.3703e-02
  3.9279e+02  -1.4717e-02
  3.9399e+02  -1.3358e-02
  3.9520e+02  -1.0297e-02
  3.9640e+02  -6.3504e-03
  3.9760e+02  -2.3143e-03
  3.9880e+02   1.1773e-03
  4.0000e+02   3.7311e-03
